Name,Address,Pin Code,Age,latitude,longitude,Date_of_birth,Nationality,Diabetic,Religion,Height,Nationality,Diabetic,Religion,Height
Peter Hill,"3848 107th St, Antioch, VT 79559",79559,36,43.469852,-109.502869,1988-09-16,Italian,Yes,Deism,Short,Italian,Yes,Deism,Short
Harold Wilson,"3848 107th St, Antioch, VT 79559",79559,68,43.469852,-109.502869,1956-09-16,Swedish,Yes,Buddhism,Short,Swedish,Yes,Buddhism,Short
Christy Ramos,"3848 107th St, Antioch, VT 79559",79559,66,43.469852,-109.502869,1958-09-17,Russian,Yes,Paganism,Short,Russian,Yes,Paganism,Short
Mark Hill,"9306 37th St, Garden Grove, UT 77711",77711,29,26.040271,-115.130319,1995-09-17,Japanese,Yes,Islam,Short,Japanese,Yes,Islam,Short
Margaret Turner,"9306 37th St, Garden Grove, UT 77711",77711,47,26.040271,-115.130319,1977-09-17,Irish,No,Islam,Short,Irish,No,Islam,Short
Mark Cook,"9306 37th St, Garden Grove, UT 77711",77711,59,26.040271,-115.130319,1965-09-17,Italian,No,Jainism,Average,Italian,No,Jainism,Average
William Cooper,"9306 37th St, Garden Grove, UT 77711",77711,60,26.040271,-115.130319,1964-09-16,Polish,No,Hinduism,Tall,Polish,No,Hinduism,Tall
Brenda Thompson,"9306 37th St, Garden Grove, UT 77711",77711,22,26.040271,-115.130319,2002-09-17,Japanese,No,Sikhism,Short,Japanese,No,Sikhism,Short
Jennifer Williams,"2293 197th St, Temecula, RI 72774",72774,41,33.345173,-72.874953,1983-09-17,Japanese,Yes,Druidism,Average,Japanese,Yes,Druidism,Average
Zachary Mitchell,"2293 197th St, Temecula, RI 72774",72774,51,33.345173,-72.874953,1973-09-17,Chinese,No,Agnostic,Tall,Chinese,No,Agnostic,Tall
Andrea Parker,"2293 197th St, Temecula, RI 72774",72774,45,33.345173,-72.874953,1979-09-17,Irish,Yes,Taoism,Tall,Irish,Yes,Taoism,Tall
John Rodriguez,"2293 197th St, Temecula, RI 72774",72774,24,33.345173,-72.874953,2000-09-16,Canadian,No,Pastafarianism,Short,Canadian,No,Pastafarianism,Short
Jennifer Wilson,"4635 144th St, Pembroke Pines, CA 47939",47939,45,37.97199,-97.647942,1979-09-17,Mexican,Yes,Paganism,Average,Mexican,Yes,Paganism,Average
Jonathan Ortiz,"4635 144th St, Pembroke Pines, CA 47939",47939,76,37.97199,-97.647942,1948-09-16,Korean,Yes,Zoroastrianism,Average,Korean,Yes,Zoroastrianism,Average
Pamela Anderson,"4635 144th St, Pembroke Pines, CA 47939",47939,39,37.97199,-97.647942,1985-09-17,German,Yes,Rastafarianism,Average,German,Yes,Rastafarianism,Average
James Allen,"2091 38th St, Palm Bay, FL 27049",27049,56,28.489021,-99.225687,1968-09-16,Mexican,Yes,Zoroastrianism,Average,Mexican,Yes,Zoroastrianism,Average
Chad Hill,"2091 38th St, Palm Bay, FL 27049",27049,37,28.489021,-99.225687,1987-09-17,American,Yes,Hinduism,Average,American,Yes,Hinduism,Average
John Adams,"2091 38th St, Palm Bay, FL 27049",27049,24,28.489021,-99.225687,2000-09-16,Korean,No,Deism,Tall,Korean,No,Deism,Tall
Gary Young,"7428 183rd St, Pittsburgh, GA 97622",97622,67,34.056057,-111.689457,1957-09-17,Korean,Yes,Atheism,Tall,Korean,Yes,Atheism,Tall
Laura Rodriguez,"7428 183rd St, Pittsburgh, GA 97622",97622,47,34.056057,-111.689457,1977-09-17,Dutch,No,Unitarianism,Tall,Dutch,No,Unitarianism,Tall
